,3332283.0
1101010001,431334.0
1101010002,420889.0
1101010003,2234369.0
1101020001,36927.0
1101030001,593342.0
1101040001,444088.0
1101050101,290999.0
1101050102,184279.0
1101050103,137717.0
1101050201,146753.0
1101050202,1961.0
1101050203,4775.0
1101050301,2816754.0
1101050302,23334.0
1101060001,146175.0
1101060002,514736.0
1101070101,130072.0
1101070102,38187.0
1101070201,188687.0
1101070202,1238508.0
1101080001,192853.0
1101080002,2406920.0
1101080003,18240.0
1101090001,30037.0
1101090002,239660.0
1101090003,289944.0
1101090004,51192.0
1101090005,1528682.0
1101100001,947016.0
1101100002,982138.0
1101100003,838130.0
1101110101,5346129.0
1101110201,1033670.0
1101110202,472602.0
1101120001,895947.0
1101120002,4937381.0
1101130001,2340290.0
1101130002,2298019.0
1101130003,48919.0
1101140001,11246.0
1101140002,384380.0
1101140003,748235.0
1101140004,176506.0
1101160001,1537302.0
1102020001,2149003.0
1102020002,1108573.0
1102020003,586801.0
1102020004,793748.0
1103010101,6452069.0
1103010102,14348922.0
1103010106,13016632.0
1103010107,16520612.0
1103010109,6874742.0
1103010110,9792486.0
1103010201,8140468.0
1103010202,11704667.0
1103010203,922550.0
1103010204,12189572.0
1103010205,11535230.0
1103010208,9938600.0
1103010210,5845860.0
1103010302,17705732.0
1103010303,1863421.0
1103030101,2645082.0
1103030102,12493707.0
1103030103,4265016.0
1103030201,662940.0
1103030202,660718.0
1104010102,2608648.0
1104010103,1977453.0
1104010105,2152849.0
1104010200,38469.0
1104010201,1022516.0
1104010202,232951.0
1104010203,115435.0
1104010204,366299.0
1104010205,109895.0
1104010206,336735.0
1104010207,65158.0
1104020003,1226565.0
1104030001,561556.0
1104030003,7201506.0
1104040001,4041748.0
1104040002,3608045.0
1104040004,645236.0
1105010101,749711.0
1105010201,675734.0
1105010301,131501.0
1105010302,118899.0
1105010303,2219513.0
1105010401,1992698.0
1105010402,835759.0
1105020101,2326900.0
1105020102,1483808.0
1105020103,1352998.0
1105020201,1500281.0
1105020202,2753715.0
1105020301,7413857.0
1105020302,305274.0
1105020303,776627.0
1105020304,747941.0
1106010101,90702.0
1106010102,646602.0
1106010103,27976.0
1106010104,122782.0
1106010201,664980.0
1106010202,414628.0
1106010203,97324.0
1106020101,159728.0
1106020102,153608.0
1106020103,238074.0
1107010001,250374.0
1107010003,44963.0
1107010004,69457.0
1107010005,210.0
1107010007,1323574.0
1107010008,23892.0
1107020104,4635.0
1107030101,817495.0
1107030102,970487.0
1107030103,283708.0
1107030105,6194067.0
1107030106,807160.0
1107030107,2288195.0
1107030201,36647096.0
1107030202,183578.0
1107030203,764186.0
1108010007,1057962.0
